Conference,Talks,God_Total,HeavenlyFather_Total,God_Pct,God_Per1000Words,HF_Per1000Words
1971-04,45,443,51,89.67611336032388,5.037239946274152,0.6088574470979238
1971-10,44,467,22,95.50102249488752,5.4768164209304055,0.3207318870458357
1972-04,47,499,50,90.89253187613843,5.412561145626131,0.5904252740156491
1972-10,43,507,25,95.30075187969925,5.607055585068965,0.3190450521634482
1973-04,41,423,48,89.80891719745223,4.550188725477966,0.5037946001151691
1973-10,40,468,28,94.35483870967742,5.191617133940232,0.3369444156098642
1974-04,46,478,44,91.57088122605363,4.796473885549554,0.47493394899010577
1974-10,43,461,33,93.31983805668015,5.125884475097591,0.36055444359461064
1975-04,47,433,28,93.92624728850325,4.551534357614129,0.34095747707500434
1975-10,51,434,38,91.94915254237289,4.0662525559514515,0.4690234172444442
1976-04,52,420,33,92.71523178807946,3.8727719576670885,0.3880530155125028
1976-10,52,358,39,90.17632241813602,3.3522461749418975,0.44627260587475237
1977-04,41,300,35,89.55223880597015,3.7342444183040606,0.4608959294447205
1977-10,37,309,20,93.9209726443769,3.9590292772964673,0.30131289839531356
1978-04,43,319,20,94.10029498525073,3.924101257233998,0.30740929804512573
1978-10,44,307,36,89.50437317784257,3.415526931782267,0.46675813099454716
1979-04,36,291,11,96.35761589403974,3.7472757127756844,0.1302739348152299
1979-10,39,380,34,91.78743961352657,4.871443023718697,0.523122621725957
1980-04,39,269,24,91.80887372013652,3.6886638926349575,0.36106138089150247
1980-10,45,290,35,89.23076923076924,3.4235325741179037,0.5221112436823757
1981-04,38,283,26,91.58576051779936,4.270593665576065,0.4404445586619179
1981-10,40,319,32,90.88319088319088,3.903442150071071,0.386703137651456
1982-04,41,274,39,87.53993610223642,3.484685387353574,0.5911432274977668
1982-10,36,249,27,90.21739130434783,3.465023138973484,0.3866551909715479
1983-04,32,233,30,88.59315589353612,3.738503513265628,0.4580926955750625
1983-10,34,285,38,88.23529411764706,4.098094572720207,0.569527489902458
1984-04,34,210,26,88.98305084745762,3.3181163162562934,0.4228834178823768
1984-10,36,375,34,91.68704156479217,5.30697967020625,0.5203635927494626
1985-04,35,238,47,83.50877192982456,4.004768943918006,0.6477918946183615
1985-10,35,306,62,83.15217391304348,4.3057840009131345,1.1144918425913362
1986-04,28,210,23,90.12875536480686,3.5247951144776737,0.4036649520532805
1986-10,33,255,48,84.15841584158416,3.8039107226869318,0.7412934671319897
1987-04,29,222,18,92.5,3.5900137876709723,0.29036499581120817
1987-10,33,325,26,92.5925925925926,4.548333403206081,0.3761363061504392
1988-04,32,339,30,91.869918699187,5.7766511972410814,0.9007607461535284
1988-10,35,271,72,79.00874635568513,3.7249418862461523,1.1798021424800458
1989-04,29,235,36,86.71586715867159,3.4537523427455583,0.5984952738743607
1989-10,36,328,60,84.5360824742268,4.498751701083756,0.7812258677497879
1990-04,40,251,38,86.85121107266436,3.22494553040998,0.5283390070886613
1990-10,38,298,63,82.54847645429363,4.082899209910101,0.9336126056379662
1991-04,34,221,45,83.0827067669173,3.27387070564493,0.7709009169083689
