topic_id,top_words,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15
0,"took, young, noticed, home, missionary, came, visit, felt, salt lake, lake, went, salt, teacher, priesthood, city",took,young,noticed,home,missionary,came,visit,felt,salt lake,lake,went,salt,teacher,priesthood,city
1,"welfare service, welfare, storehouse, production, commodity, bishop, project, needy, assistance, service, production project, preparedness, resource, deseret industry, bishop storehouse",welfare service,welfare,storehouse,production,commodity,bishop,project,needy,assistance,service,production project,preparedness,resource,deseret industry,bishop storehouse
2,"tithing, tithe, pay tithing, window heaven, law tithing, lord host, window, saith lord, open window, host, pay, robbed, saith, room receive, shall room",tithing,tithe,pay tithing,window heaven,law tithing,lord host,window,saith lord,open window,host,pay,robbed,saith,room receive,shall room
3,"program, facility, wonderful, temple, tremendous, dedicated, forward, building, nation, area, grateful, accommodate, institute, fund, vast",program,facility,wonderful,temple,tremendous,dedicated,forward,building,nation,area,grateful,accommodate,institute,fund,vast
4,"fast, fasting, thy, shall thy, lord shall, thy light, thou, shalt, meal, satisfy, law fast, fast offering, hungry, thee, spring",fast,fasting,thy,shall thy,lord shall,thy light,thou,shalt,meal,satisfy,law fast,fast offering,hungry,thee,spring
5,"joseph, smith, joseph smith, restoration, prophet joseph, mormon, book mormon, restored, book, prophet, authority, truth, john, earth, key",joseph,smith,joseph smith,restoration,prophet joseph,mormon,book mormon,restored,book,prophet,authority,truth,john,earth,key
6,"poor, impart, unto poor, poor needy, needy, welfare, care poor, impart substance, rich, administer relief, substance, welfare program, idler, thou, administer",poor,impart,unto poor,poor needy,needy,welfare,care poor,impart substance,rich,administer relief,substance,welfare program,idler,thou,administer
7,"debt, marriage, avoid, money, credit, divorce, economic, problem, thing, car, spend, wise, income, home, mean",debt,marriage,avoid,money,credit,divorce,economic,problem,thing,car,spend,wise,income,home,mean
8,"worthiness, judge, preside, bishop, pornographic, high priest, counselor, priest, presiding high, blameless, set apart, plead, flock, lest, thank lord",worthiness,judge,preside,bishop,pornographic,high priest,counselor,priest,presiding high,blameless,set apart,plead,flock,lest,thank lord
9,"helaman, parent, teach, covenant, scripture, home, nephi, teach child, family home, home evening, prayer, alma, lamanites, taught, example",helaman,parent,teach,covenant,scripture,home,nephi,teach child,family home,home evening,prayer,alma,lamanites,taught,example
10,"heavenly, heavenly father, savior, commandment, sin, eternal, repent, love, atonement, mortal, perfect, nelson, power, spiritual, loving",heavenly,heavenly father,savior,commandment,sin,eternal,repent,love,atonement,mortal,perfect,nelson,power,spiritual,loving
11,"thy, sabbath, shalt, everlasting covenant, thou, abraham, word wisdom, covenant, commandment, thou shalt, shall, israel, unto, estate, promise",thy,sabbath,shalt,everlasting covenant,thou,abraham,word wisdom,covenant,commandment,thou shalt,shall,israel,unto,estate,promise
12,"sacrifice, hinckley, joseph, smith, gordon, gordon hinckley, joseph smith, temple, prophet, blessing, faithful, korea, forth blessing, dance, make sacrifice",sacrifice,hinckley,joseph,smith,gordon,gordon hinckley,joseph smith,temple,prophet,blessing,faithful,korea,forth blessing,dance,make sacrifice
13,"treasure, lay treasure, thief, rust, treasure heaven, lay, steal, break steal, moth, rust doth, corrupt thief, doth corrupt, moth rust, thief break, corrupt",treasure,lay treasure,thief,rust,treasure heaven,lay,steal,break steal,moth,rust doth,corrupt thief,doth corrupt,moth rust,thief break,corrupt
14,"home teaching, invite, invited, converted, luke, service, invitation, peter, commitment, ordinary, lovely, spirit lord, matt, testimony, calling",home teaching,invite,invited,converted,luke,service,invitation,peter,commitment,ordinary,lovely,spirit lord,matt,testimony,calling
